Gen	t_n54	t_n55	t_n56	t_n57	t_n58	t_n59	t_n60	t_n61	t_n62	t_n63	t_n64	t_n65	t_n66	t_n67	t_n68	t_n69	t_n70	t_n71	t_n72	t_n73	t_n74	t_n75	t_n76	t_n77	t_n78	t_n79	t_n80	t_n81	t_n82	t_n83	t_n84	t_n85	t_n86	t_n87	t_n88	t_n89	t_n90	t_n91	t_n92	t_n93	t_n94	t_n95	t_n96	t_n97	t_n98	t_n99	t_n100	t_n101	t_n102	t_n103	t_n104	t_n105	mu1	mu2	mu3	mu4	mu5	sigma2_1	sigma2_2	sigma2_3	sigma2_4	sigma2_5	lnL
5244	0.9761159	0.9678589	0.9648974	0.5788223	0.0740848	0.0270321	0.9419067	0.8735227	0.5986671	0.3755462	0.8116137	0.4723415	0.2949787	0.1999185	0.0029816	0.3650227	0.1048100	0.2828173	0.1700295	0.1335513	0.1166454	0.0693078	0.0083800	0.7202604	0.6567916	0.5248774	0.4554077	0.4164135	0.2710333	0.1018344	0.0736501	0.1867686	0.0863550	0.4218614	0.2974696	0.1246620	0.1140358	0.4434326	0.3690795	0.2088212	0.1258792	0.0306348	0.0028417	0.1210341	0.0949579	0.5069074	0.2283426	0.3329951	0.1229132	0.0373898	0.0105000	0.2931176	0.1066480	0.1460991	0.5715527	0.6215663	0.0310473	0.1961458	0.3858288	0.5638524	0.2451308	0.0678247	-647.702
5250	1.0339905	1.0072153	1.0048236	0.5845312	0.0559561	0.0406215	0.9817850	0.7891620	0.7321826	0.3633736	0.9053556	0.4770002	0.2719360	0.2018903	0.0071789	0.3170948	0.0565158	0.2487070	0.1584206	0.1493920	0.1316965	0.0686678	0.0114753	0.7273643	0.6946247	0.5070757	0.4791641	0.4590497	0.3109217	0.1257938	0.0531225	0.2551081	0.1592944	0.4667145	0.1661734	0.1178594	0.1773441	0.4937039	0.3918087	0.2160800	0.1518836	0.0577384	0.0268304	0.1222278	0.0478284	0.7901877	0.3719877	0.2796166	0.1241255	0.0529995	0.0264340	0.2372626	0.1227325	0.1316773	0.5509725	0.6154957	0.0307675	0.1597427	0.3732453	0.5638524	0.1939802	0.0678247	-651.310
5256	1.0180531	1.0145334	0.9963885	0.5766569	0.0326696	0.0306735	0.9670433	0.8382051	0.7382811	0.3699203	0.9283738	0.4669998	0.2700935	0.2005224	0.0015004	0.3092096	0.0864724	0.2442056	0.1608447	0.1454200	0.1387163	0.0708060	0.0215231	0.7209347	0.6587527	0.5127535	0.4688134	0.3810083	0.2407006	0.1006542	0.0825933	0.3926720	0.0675227	0.4353275	0.2278396	0.1236268	0.0569158	0.4728457	0.3372551	0.2845600	0.1973072	0.0388055	0.0266487	0.1028587	0.0666827	0.6743927	0.3694673	0.4301474	0.1232845	0.0526404	0.0001047	0.2946244	0.1278819	0.1325756	0.5997242	0.6396437	0.0287751	0.1889743	0.3732453	0.3355667	0.1405613	0.0505146	-624.966
5262	1.0293078	1.0010870	0.9956979	0.5792709	0.0238064	0.0191031	0.9410265	0.9009924	0.8125076	0.4852577	0.9071984	0.4670579	0.2701271	0.2005473	0.0024974	0.3332084	0.0864831	0.2836157	0.2059125	0.1632962	0.1115876	0.0701717	0.0118891	0.7210244	0.6481718	0.5084953	0.4004924	0.2785147	0.2512276	0.1043096	0.0295521	0.4023074	0.0675311	0.4126625	0.2715286	0.1494073	0.0446089	0.3598009	0.3468141	0.2476071	0.1496034	0.0654900	0.0225674	0.1188857	0.0482634	0.6151950	0.4586338	0.4302009	0.1042683	0.0519595	0.0194774	0.4234994	0.1329612	0.1325591	0.5996495	0.7279155	0.0297428	0.1845218	0.3547308	0.2675405	0.1405613	0.0424826	-651.094
5268	1.0544879	1.0215148	0.9993189	0.5825901	0.0527967	0.0208651	0.9627279	0.8698396	0.7022322	0.4844291	0.9056493	0.4256236	0.2065285	0.1518923	0.0024931	0.3301074	0.0569817	0.2570339	0.2024197	0.1539231	0.1443667	0.1074446	0.0306121	0.7197932	0.6635268	0.5170031	0.4862757	0.3788222	0.2127492	0.0700476	0.0421080	0.3798699	0.0674158	0.4718729	0.2785207	0.1817369	0.0808015	0.3591865	0.3123195	0.1252167	0.0600570	0.0303259	0.0039104	0.0808941	0.0571908	0.6141445	0.4245137	0.4571873	0.1040902	0.0674188	0.0203052	0.2489058	0.1397053	0.1681349	0.5434253	0.7291606	0.0297936	0.2028644	0.3547308	0.2713304	0.1052492	0.0424826	-634.733
5274	1.0550472	0.9917267	0.9368673	0.5769728	0.0476119	0.0337173	0.9174283	0.8316449	0.7219324	0.3676377	0.8967506	0.4214415	0.2094385	0.1287569	0.0135497	0.3714466	0.0601736	0.3128045	0.1733741	0.1605642	0.1021805	0.0351127	0.0211583	0.7220770	0.6960432	0.4866000	0.3916760	0.3383920	0.2214267	0.0843981	0.0309688	0.3761374	0.1037136	0.4672364	0.2219535	0.1444940	0.0501935	0.4647035	0.3252893	0.2843235	0.0761866	0.0481968	0.0391556	0.0943535	0.0333616	0.6081101	0.4666742	0.2926346	0.0756771	0.0347314	0.0148882	0.2002673	0.1250517	0.1816265	0.5160945	0.7077657	0.0300893	0.1534930	0.3513687	0.4496891	0.1573305	0.0491293	-658.115
5280	0.9530354	0.9444995	0.9306379	0.5807309	0.0430918	0.0235855	0.9269444	0.8976964	0.8360166	0.4327203	0.8967506	0.4062176	0.2094385	0.1414280	0.0021370	0.3534468	0.1030093	0.3256377	0.2149749	0.1246860	0.1021805	0.0314362	0.0060152	0.7220770	0.6074423	0.5254270	0.4788090	0.3874809	0.2870228	0.1624030	0.0779865	0.2667669	0.0474681	0.3463741	0.2708757	0.1109040	0.1675357	0.4786585	0.3749066	0.3309376	0.1494773	0.0502668	0.0048771	0.1438987	0.0983494	0.6081101	0.4967334	0.3238900	0.0688980	0.0380236	0.0139687	0.2106494	0.1330782	0.1817319	0.4720587	0.7158550	0.0292743	0.3470617	0.2490172	0.4496891	0.1043021	0.0605315	-597.060
5286	0.9604629	0.9594911	0.9143714	0.5798770	0.0341708	0.0256435	0.9127449	0.8095438	0.7766822	0.4578026	0.9041763	0.4093834	0.2305375	0.1756640	0.0033937	0.3196207	0.1087460	0.2635884	0.1989069	0.1473661	0.0971236	0.0634047	0.0139355	0.7281390	0.7052783	0.5472147	0.4624370	0.3825720	0.3198749	0.1746566	0.1465385	0.3018259	0.0651731	0.4434146	0.2675127	0.0411107	0.2676825	0.4961503	0.4000507	0.2747172	0.0854862	0.0447106	0.0255780	0.0949936	0.0598681	0.4169596	0.3503733	0.2754077	0.1011995	0.0374800	0.0015492	0.2542442	0.1357765	0.1784773	0.4956450	0.6738799	0.0290479	0.3086297	0.2737499	0.5026350	0.0463852	0.1287153	-653.835
5292	0.9813207	0.9621218	0.9340603	0.5788762	0.0571837	0.0346939	0.9119253	0.8929668	0.7743756	0.4564430	0.8453070	0.3634864	0.2362320	0.1043406	0.0004421	0.2877158	0.0638134	0.2410582	0.1857897	0.1478003	0.1343306	0.0690476	0.0220613	0.7237985	0.7031837	0.5692467	0.5259504	0.4443850	0.2693635	0.1678802	0.1471833	0.2960933	0.0649796	0.4420977	0.3742203	0.0382929	0.2922466	0.4724032	0.4136450	0.2849802	0.1296949	0.0572594	0.0379449	0.1201987	0.0803566	0.6425863	0.4923408	0.4326748	0.1096436	0.0375944	0.0015446	0.2558485	0.1328271	0.1790089	0.4135521	0.6758873	0.0267555	0.3837790	0.1618754	0.5428588	0.0685682	0.1287153	-657.474
5298	0.9567070	0.9553018	0.9346432	0.5901906	0.0477878	0.0310013	0.9127526	0.7651347	0.7342923	0.5305034	0.8571629	0.4215284	0.2351796	0.1503620	0.0054196	0.3992682	0.0644928	0.3031119	0.1763617	0.1689573	0.1552238	0.0697827	0.0328987	0.7288556	0.7106702	0.5977107	0.4978198	0.4113641	0.2143530	0.0855686	0.0588780	0.2591448	0.0656714	0.4512740	0.2085574	0.1207086	0.0777228	0.3998602	0.3469164	0.3005975	0.1275726	0.0401782	0.0269853	0.1041255	0.0372401	0.7148607	0.4975825	0.3539947	0.0648668	0.0411985	0.0041547	0.3461520	0.1446788	0.1772999	0.5441904	0.6687672	0.0287313	0.4563919	0.2464740	0.5709041	0.0479174	0.1181204	-601.820
5304	0.9563842	0.9443935	0.8988152	0.5823212	0.0307628	0.0259139	0.8905123	0.8130724	0.7252058	0.4878926	0.8559502	0.3473136	0.2194118	0.1360495	0.0108068	0.2978494	0.0977044	0.2305900	0.1900821	0.1558047	0.1446724	0.1011984	0.0133319	0.7289772	0.6947429	0.5953825	0.5548904	0.4066950	0.1466961	0.0758604	0.0348620	0.5179038	0.0648587	0.4386971	0.2305623	0.2138520	0.1027307	0.5145906	0.3134262	0.2557163	0.2198740	0.0243505	0.0145965	0.1028370	0.0926580	0.6951580	0.6095573	0.3517911	0.0400377	0.0159181	0.0041033	0.3051126	0.1753943	0.1795214	0.5510088	0.6516334	0.0268884	0.5749789	0.4559737	0.5331678	0.0500555	0.1686986	-620.181
5310	0.9480488	0.9032514	0.8653988	0.5776884	0.0418693	0.0271577	0.8515418	0.8043047	0.7188853	0.4836404	0.7949627	0.3279300	0.1416151	0.0669208	0.0029915	0.2740169	0.0367703	0.2412700	0.1684504	0.1407764	0.1251519	0.0724720	0.0125766	0.7294340	0.6933355	0.5373645	0.5019157	0.2970177	0.1969024	0.0669605	0.0564741	0.4116862	0.0642934	0.6007950	0.3961692	0.1790866	0.1018354	0.5026404	0.3995909	0.2644117	0.1256107	0.0216109	0.0144693	0.1555370	0.0935477	0.7872513	0.6056374	0.3597185	0.0849884	0.0290986	0.0008365	0.3326651	0.1943801	0.1646370	0.6295652	0.6573627	0.0345484	0.6426694	0.4726817	0.5365114	0.0500555	0.1222660	-651.363
5316	0.9515488	0.8900501	0.8795390	0.5766512	0.0417755	0.0312221	0.8610620	0.7950761	0.7172750	0.4838306	0.8264047	0.3475221	0.1412979	0.0698314	0.0024850	0.2727908	0.0448865	0.2403868	0.1509384	0.1314507	0.1108376	0.0631516	0.0171436	0.7202110	0.6923025	0.4645735	0.3418348	0.2715026	0.1784368	0.1143918	0.0848793	0.2630386	0.1575655	0.5817832	0.3472784	0.2965069	0.1016073	0.4501857	0.4170052	0.1826845	0.1253293	0.0308767	0.0221037	0.1569079	0.0892121	0.6358491	0.6042808	0.2802329	0.0801282	0.0444784	0.0004273	0.2229647	0.2068803	0.2025770	0.6557708	0.6588384	0.0300645	0.3995648	0.3672744	0.5758350	0.0676118	0.0784780	-637.075
5322	0.9443076	0.9412018	0.8932967	0.5788861	0.0598677	0.0425640	0.8858773	0.8396374	0.6543586	0.4257265	0.8590507	0.3519846	0.1824983	0.1186115	0.0028914	0.3160963	0.0494882	0.2919102	0.2298641	0.1830366	0.1003082	0.0482088	0.0071416	0.7262561	0.7055860	0.4280536	0.3341838	0.2925391	0.1871689	0.1490253	0.0898265	0.1782854	0.0935390	0.4938298	0.2447761	0.0596418	0.2025078	0.4209428	0.3722316	0.1728764	0.0982361	0.0253377	0.0221037	0.1200641	0.0279098	0.7078423	0.6042808	0.2802329	0.0779518	0.0569374	0.0076858	0.2069918	0.2204190	0.2389510	0.7843222	0.6588384	0.0288591	0.3919278	0.6060180	0.7129542	0.0968116	0.1288452	-624.102
5328	0.9308233	0.9227765	0.9033248	0.5794393	0.0606319	0.0355210	0.8885146	0.8123044	0.7029844	0.4187851	0.8209892	0.3626655	0.2152131	0.1482421	0.0028942	0.3413266	0.0361567	0.2725290	0.2289960	0.1803957	0.1705955	0.0549696	0.0243784	0.7251466	0.6234011	0.4059365	0.4003090	0.3353427	0.1772120	0.1047175	0.0413803	0.3142594	0.1900383	0.4966494	0.3309882	0.3001534	0.1162617	0.4691145	0.3938795	0.1992049	0.0983299	0.0123292	0.0012012	0.0998863	0.0453423	0.7325909	0.6048583	0.2875797	0.0780263	0.0534776	0.0013218	0.2781972	0.2006504	0.1789381	0.6569419	0.6582094	0.0268180	0.3916789	0.2611237	0.7129542	0.1089496	0.0682071	-691.620
5334	0.9658205	0.8926351	0.8853361	0.5774905	0.0388626	0.0177241	0.8575757	0.7559808	0.6782177	0.3783743	0.8241112	0.3520120	0.2253918	0.1292527	0.0094600	0.3365007	0.0591159	0.2774973	0.2330587	0.2097925	0.1151843	0.0665774	0.0132983	0.7212968	0.6976563	0.4671822	0.4415373	0.3446564	0.1822234	0.0753984	0.0309257	0.3195160	0.1084179	0.4381007	0.3228237	0.2985599	0.1605829	0.4353968	0.2894887	0.2494934	0.0978079	0.0223617	0.0162580	0.1297022	0.1129139	0.5637902	0.2903809	0.2860530	0.1095061	0.0859464	0.0021903	0.2767202	0.1708573	0.1798932	0.6526647	0.6417483	0.0308384	0.4214124	0.3594522	0.9402798	0.1118244	0.0752679	-576.144
5340	0.9347819	0.9295779	0.8852054	0.5780902	0.0291272	0.0146793	0.8650303	0.7629182	0.5576672	0.3616278	0.8454150	0.4984402	0.2234935	0.1520686	0.0008151	0.4017730	0.0686477	0.2934316	0.1928995	0.1541699	0.1218489	0.0491378	0.0059524	0.7418733	0.7317885	0.5559908	0.5317768	0.3767455	0.1808822	0.0854380	0.0512853	0.4248715	0.1607229	0.5780263	0.2483764	0.0772634	0.1835083	0.3861578	0.3372177	0.2506920	0.1010952	0.0389754	0.0233272	0.1287476	0.1156427	0.5561868	0.2904337	0.3247870	0.1161860	0.0753394	0.0053171	0.2579927	0.1533562	0.1829328	0.6663220	0.6029002	0.0295638	0.3656458	0.3471359	0.5716308	0.1001675	0.0456849	-621.545
5346	0.9669116	0.9378548	0.9274054	0.5855213	0.0447750	0.0310431	0.8969002	0.8638755	0.6777599	0.4308382	0.8309075	0.4069480	0.3125282	0.2364996	0.0108489	0.3550281	0.0987829	0.2897443	0.2000945	0.1412175	0.1139659	0.0686898	0.0148913	0.7468416	0.7086202	0.5944343	0.5406300	0.3856749	0.3167462	0.1136562	0.0768266	0.4659766	0.1169914	0.4893080	0.2497412	0.0551496	0.1132745	0.3882798	0.3759627	0.3559114	0.1691263	0.0426301	0.0056700	0.1294551	0.0532070	0.5592432	0.3896355	0.3643954	0.1806037	0.1154824	0.0421558	0.3300017	0.1764841	0.1756981	0.5642638	0.5982381	0.0299454	0.4559301	0.2619125	0.5716308	0.1170623	0.0456849	-608.563
5352	0.9565477	0.8903111	0.8696767	0.5786522	0.0545167	0.0216860	0.8560001	0.8241714	0.7501516	0.4030042	0.8020193	0.4502166	0.3091783	0.2060095	0.0007942	0.3473733	0.0722940	0.2731629	0.1844489	0.1281149	0.0772184	0.0767377	0.0110415	0.7299839	0.7165952	0.6246241	0.4920355	0.4376224	0.2337276	0.2078874	0.1239539	0.3505476	0.1157375	0.4281738	0.2470644	0.0290049	0.0676344	0.4962099	0.4086399	0.3142889	0.1133838	0.0433048	0.0131626	0.1280675	0.0859757	0.7664113	0.4096684	0.3697422	0.1626821	0.1464833	0.0094072	0.2897128	0.1783962	0.1664600	0.5284928	0.5664644	0.0302699	0.3750792	0.2604983	0.5716308	0.1403795	0.0333149	-640.496
5358	0.9543018	0.8997695	0.8695437	0.5786522	0.0545167	0.0333174	0.8495798	0.8241714	0.6675532	0.3895875	0.8037100	0.4350292	0.2299677	0.1508926	0.0140010	0.3748615	0.0722940	0.2249702	0.1700221	0.1488915	0.1135552	0.0762510	0.0233050	0.7297452	0.7165952	0.5337148	0.5190260	0.3640240	0.2329239	0.0689358	0.0512271	0.3642599	0.0626557	0.5059217	0.2470644	0.0089082	0.1368831	0.4288054	0.3524336	0.2560064	0.0493358	0.0261514	0.0111589	0.1171928	0.0832106	0.7898997	0.4238078	0.3661548	0.1527490	0.0336938	0.0094072	0.3471461	0.1783962	0.1921802	0.5230864	0.6187494	0.0311876	0.3127699	0.4260371	0.5008585	0.1708686	0.0419651	-603.122
5364	0.9466669	0.9376133	0.9136426	0.5786033	0.0619086	0.0496454	0.9071863	0.8168201	0.6848868	0.4156396	0.8622078	0.3667873	0.2281278	0.1404504	0.0017374	0.3224176	0.1169979	0.3094642	0.1596852	0.1470023	0.0795911	0.0606958	0.0044711	0.7239068	0.7071013	0.5179405	0.5059914	0.4363970	0.2901900	0.1277443	0.0411940	0.1540809	0.0621544	0.5403358	0.3168844	0.1225388	0.1357880	0.3540333	0.3083968	0.2798423	0.0702369	0.0504866	0.0139896	0.0606706	0.0427995	0.7424830	0.7239504	0.3833584	0.0930675	0.0660836	0.0058262	0.2227428	0.1656054	0.1735926	0.6116676	0.6159421	0.0314391	0.3127699	0.3547122	0.5826359	0.1318133	0.0346737	-610.353
5370	0.9573887	0.9327971	0.9256080	0.5813965	0.0522206	0.0263862	0.9160516	0.7874268	0.7308324	0.4559056	0.8922301	0.3817178	0.2435122	0.2190982	0.0112489	0.3130531	0.0841327	0.2951256	0.1866017	0.1102789	0.0991071	0.0509565	0.0110519	0.7869553	0.6923882	0.5910738	0.5404363	0.4141028	0.1991503	0.1019269	0.0883560	0.2072132	0.0578081	0.4593153	0.2653726	0.0658168	0.1373259	0.3580430	0.3389820	0.1882597	0.0833168	0.0337079	0.0179231	0.0546989	0.0270060	0.7945867	0.6240245	0.4830315	0.1574228	0.0702674	0.0068798	0.2351819	0.1508304	0.2001466	0.7165716	0.6090441	0.0310871	0.2839160	0.4765101	0.7590202	0.0974455	0.0466656	-607.361
5376	0.9515939	0.9345305	0.9253439	0.5814135	0.0518680	0.0382472	0.9095528	0.8691117	0.7992542	0.3566212	0.8831744	0.5469973	0.2857203	0.1348447	0.0006045	0.3991046	0.0687605	0.2752805	0.1512238	0.1198182	0.0724832	0.0326395	0.0109773	0.7816413	0.7593834	0.5571693	0.5028923	0.3226145	0.2864423	0.1456301	0.1283592	0.3408427	0.0574177	0.5197646	0.2635806	0.1312446	0.1299358	0.3564917	0.2982822	0.2069856	0.0758020	0.0359998	0.0165217	0.0777529	0.0300113	0.6909640	0.4316638	0.3840881	0.1547033	0.0697929	0.0144768	0.2828864	0.1646593	0.2015073	0.5879823	0.6568514	0.0312984	0.2612739	0.4765101	0.5928987	0.1241370	0.0362468	-528.245
5382	0.9751500	0.9718338	0.9475461	0.5789486	0.0504446	0.0386624	0.9099082	0.8175947	0.7942579	0.5230803	0.8917388	0.4506039	0.2238165	0.1588999	0.0012338	0.3770880	0.0668747	0.3286816	0.2573798	0.1588059	0.0895975	0.0329937	0.0173053	0.7949738	0.7559816	0.6016133	0.4813963	0.3250127	0.2967851	0.1853197	0.1305827	0.4990138	0.1597056	0.6315331	0.3779538	0.0748801	0.1313461	0.3843404	0.3452425	0.2263397	0.1197706	0.0333431	0.0159139	0.0874566	0.0303370	0.7766153	0.7031738	0.3278689	0.1276056	0.0705504	0.0146339	0.2662808	0.1389101	0.1614440	0.6346966	0.6372637	0.0309623	0.1665298	0.6299430	0.6907233	0.0861903	0.0435836	-641.466
5388	1.0125878	0.9559058	0.9456382	0.5823934	0.0504185	0.0384604	0.9243366	0.8131181	0.7567055	0.4636748	0.8772427	0.5199530	0.2237009	0.1645220	0.0258262	0.4305129	0.0581991	0.3510678	0.1904758	0.1671679	0.1434816	0.0730620	0.0172964	0.7372937	0.7183516	0.5968389	0.5631063	0.5127278	0.2480102	0.1520148	0.1049215	0.4148745	0.0905743	0.5872081	0.2344016	0.1005747	0.0714424	0.5033976	0.3243030	0.2124573	0.1377317	0.0538833	0.0158680	0.0674418	0.0480467	0.7944135	0.3714747	0.4191585	0.1857676	0.1126287	0.0073478	0.3357458	0.1279216	0.1947341	0.6035834	0.5994448	0.0296682	0.2103770	0.5066980	0.5193040	0.1333145	0.0430348	-674.653
5394	0.9541087	0.9498232	0.9201476	0.5794276	0.0446493	0.0348366	0.8852536	0.8537946	0.6855315	0.3580339	0.8727754	0.5188455	0.2318886	0.1596399	0.0027290	0.3144723	0.0500900	0.2955574	0.1868706	0.1575968	0.1205138	0.0951059	0.0172083	0.7224160	0.6833023	0.6198243	0.5638027	0.4275647	0.2315842	0.1572126	0.1328251	0.2142951	0.0982346	0.4682866	0.2877723	0.1962337	0.1612300	0.4766300	0.4358112	0.4103190	0.1262833	0.0547769	0.0177312	0.1305547	0.0598532	0.6612567	0.5401360	0.3532854	0.1431067	0.0678115	0.0071843	0.3344905	0.1183917	0.1659290	0.5209154	0.6025131	0.0298200	0.2472290	0.4324450	0.7168816	0.1542819	0.0584880	-607.573
5400	0.9525016	0.9502021	0.9285627	0.5780325	0.0418536	0.0311426	0.8905995	0.8263321	0.7855457	0.4402991	0.8727754	0.4304268	0.2748923	0.2253878	0.0027290	0.3299457	0.0764767	0.3048600	0.1722677	0.1429579	0.1322216	0.0870530	0.0180795	0.7224160	0.7145468	0.5801592	0.5053344	0.3123413	0.2877990	0.1655889	0.0443981	0.3109550	0.1669936	0.4788779	0.2689405	0.1962337	0.1612300	0.4974886	0.4358112	0.2790433	0.2139228	0.0411687	0.0077986	0.1126240	0.0924461	0.8909101	0.5719072	0.5701882	0.1381633	0.0678115	0.0207537	0.2202643	0.1348289	0.1530986	0.5700298	0.6025131	0.0298200	0.2783715	0.3176998	0.6342396	0.1132919	0.0398433	-695.780
5406	0.9838729	0.9379567	0.9186419	0.5783005	0.0342738	0.0262257	0.8857257	0.8403765	0.6930336	0.4402991	0.8662751	0.4186700	0.2248354	0.1909453	0.0034417	0.3622715	0.1285234	0.3124403	0.1722677	0.1623565	0.1447355	0.0723476	0.0037480	0.7224160	0.6134283	0.5350809	0.4978347	0.3921341	0.3535072	0.1920242	0.1891742	0.2778112	0.1420755	0.3647230	0.2999858	0.1995046	0.1544590	0.4974886	0.3485358	0.2790433	0.0641562	0.0266002	0.0148832	0.1126240	0.0925314	0.8004820	0.6658585	0.3726259	0.1526716	0.0972979	0.0200971	0.3250736	0.1259491	0.1530986	0.5980308	0.6025131	0.0285368	0.2739457	0.3057130	0.5840407	0.1228684	0.0273216	-645.229
5412	0.9239195	0.9147405	0.8890051	0.5777481	0.0393635	0.0301343	0.8697616	0.7942556	0.5964581	0.5176968	0.8662751	0.4070052	0.2644618	0.1312120	0.0025600	0.3689541	0.0935316	0.3601360	0.1836442	0.1500552	0.0722573	0.0312065	0.0120784	0.7224160	0.7173581	0.5657506	0.5328974	0.3495874	0.3174211	0.2605048	0.1891742	0.3745532	0.2005664	0.5092102	0.2684056	0.1612835	0.0787421	0.3726558	0.2918624	0.1274002	0.0841541	0.0377609	0.0180167	0.1999092	0.1263862	0.6686864	0.3908280	0.4454670	0.1671708	0.0480561	0.0050273	0.1906268	0.1192653	0.1530986	0.7633073	0.6660874	0.0266879	0.2739457	0.3057130	0.7478050	0.1621707	0.0321818	-627.414
5418	0.9818329	0.9241193	0.8861268	0.5783726	0.0415748	0.0401937	0.8769037	0.8260060	0.7610409	0.5472418	0.8691180	0.3952520	0.2087285	0.1727678	0.0090308	0.3639058	0.0933531	0.2953572	0.2253315	0.1381740	0.0912665	0.0597933	0.0120689	0.7281026	0.6948848	0.5622513	0.5125613	0.4742848	0.3362361	0.2598424	0.1791341	0.4935842	0.3045216	0.4386536	0.2862228	0.1162341	0.0786797	0.4059014	0.3528897	0.1905918	0.0858715	0.0320752	0.0169082	0.0522106	0.0460659	0.5719407	0.4137836	0.2926951	0.1068943	0.0697489	0.0038478	0.2165082	0.1193598	0.1454707	0.5699279	0.7269763	0.0282561	0.2700380	0.4013798	0.8519489	0.1269540	0.0303653	-581.412
5424	0.9555424	0.9458092	0.9179760	0.5776517	0.0435901	0.0325826	0.8983391	0.8296713	0.6754090	0.4468659	0.8549249	0.3926800	0.2035714	0.1128972	0.0090475	0.3320129	0.0666582	0.2569356	0.1977796	0.1419840	0.0921669	0.0507309	0.0147413	0.7347704	0.6715033	0.5316067	0.5062510	0.4802047	0.3714365	0.2656076	0.2249245	0.3791059	0.0648181	0.5214737	0.3991318	0.0769483	0.0282793	0.3924757	0.3825657	0.2415986	0.0826560	0.0217725	0.0060181	0.1862276	0.0462577	0.4435717	0.3196671	0.2932372	0.0870153	0.0698781	0.0144196	0.2296809	0.1377127	0.1764614	0.6320793	0.7346439	0.0282039	0.2775724	0.4013798	0.7523541	0.1254866	0.0398782	-668.806
5430	0.9602987	0.9449085	0.8892050	0.5786913	0.0519178	0.0432833	0.8808862	0.7993596	0.7065798	0.5117383	0.8598091	0.3921647	0.1439178	0.0778730	0.0014394	0.2980191	0.0665707	0.2838585	0.1955073	0.1629336	0.0969531	0.0506643	0.0179460	0.7364599	0.7078465	0.5623264	0.4857589	0.4263209	0.3466884	0.1941159	0.1362789	0.4874281	0.0526220	0.5071147	0.3674443	0.2938695	0.1319905	0.4339400	0.3723967	0.2695262	0.0898824	0.0252330	0.0029035	0.1840524	0.0605194	0.8445085	0.2571904	0.2770043	0.0869011	0.0457839	0.0186345	0.2562234	0.1529513	0.1766933	0.5011695	0.7533194	0.0282410	0.2307803	0.7285139	0.7206423	0.1333313	0.0427977	-616.943
5436	0.9544415	0.9480228	0.9372613	0.5794755	0.0332421	0.0311596	0.8891346	0.8083535	0.6827044	0.5012462	0.8584483	0.4347639	0.2359268	0.1996443	0.0003037	0.3660437	0.0777917	0.3035045	0.1796257	0.1554493	0.0963617	0.0558374	0.0249984	0.7319679	0.6980043	0.5552617	0.5010355	0.2990384	0.2497406	0.1454783	0.0809515	0.2550130	0.1035574	0.3832913	0.2211901	0.0671242	0.0719847	0.3757707	0.3177725	0.3070561	0.1015953	0.0287208	0.0153688	0.1341057	0.0660902	0.5292763	0.2185042	0.3734839	0.1551061	0.0633899	0.0130347	0.1889315	0.1538900	0.1958613	0.5982712	0.7579424	0.0284143	0.1790849	1.0140923	0.4821243	0.1618121	0.0577903	-604.880
5442	0.9530505	0.9417658	0.9302455	0.5769864	0.0459460	0.0286445	0.9051273	0.7577550	0.5139916	0.3857415	0.8696219	0.4127353	0.2645447	0.1895920	0.0036859	0.3790130	0.0768697	0.3355035	0.2163321	0.1326785	0.0909867	0.0507244	0.0188060	0.7274192	0.7130036	0.5469651	0.5039463	0.4429077	0.2779572	0.1083912	0.0385144	0.3302847	0.1473626	0.3821465	0.2216190	0.1338725	0.0329614	0.5440724	0.3834492	0.2459603	0.1393571	0.0282659	0.0268082	0.0948551	0.0457238	0.5276955	0.1973084	0.2548171	0.0513874	0.0267003	0.0006954	0.2370465	0.1460913	0.1999446	0.5512133	0.6385567	0.0311239	0.1060361	1.0140923	0.5130371	0.1396791	0.0699108	-645.896
5448	0.9674876	0.9511382	0.9324425	0.5792141	0.0371062	0.0215313	0.9060206	0.6724887	0.5040819	0.4430527	0.8471450	0.5314884	0.2646067	0.1493941	0.0021670	0.3992558	0.0582966	0.2975612	0.2038546	0.1559385	0.1124367	0.0629401	0.0176413	0.7284871	0.6675467	0.5530429	0.5214268	0.3721443	0.2811806	0.2462136	0.1093475	0.3303032	0.1473971	0.4641487	0.2216709	0.1339039	0.0841376	0.4929172	0.3822521	0.3226169	0.1745978	0.0397389	0.0268145	0.1529759	0.1217956	0.6090037	0.3957582	0.2928531	0.1411270	0.0590010	0.0177895	0.1936858	0.1367472	0.2320896	0.5510842	0.6384072	0.0303671	0.0834118	0.7610340	0.4535798	0.1949160	0.0744490	-633.921
