Gen	t_n54	t_n55	t_n56	t_n57	t_n58	t_n59	t_n60	t_n61	t_n62	t_n63	t_n64	t_n65	t_n66	t_n67	t_n68	t_n69	t_n70	t_n71	t_n72	t_n73	t_n74	t_n75	t_n76	t_n77	t_n78	t_n79	t_n80	t_n81	t_n82	t_n83	t_n84	t_n85	t_n86	t_n87	t_n88	t_n89	t_n90	t_n91	t_n92	t_n93	t_n94	t_n95	t_n96	t_n97	t_n98	t_n99	t_n100	t_n101	t_n102	t_n103	t_n104	t_n105	mu1	mu2	mu3	mu4	mu5	sigma2_1	sigma2_2	sigma2_3	sigma2_4	sigma2_5	lnL
288	1.1488003	1.0934250	1.0798863	0.5776752	0.0293371	0.0174452	1.0522707	0.9064627	0.7485776	0.4786261	1.0348696	0.5490601	0.2807462	0.2190868	0.0052182	0.4477844	0.0547692	0.4395635	0.2863565	0.1750128	0.1467548	0.0947032	0.0486765	0.7214559	0.6659416	0.5749263	0.4254042	0.3731759	0.2802947	0.0526862	0.0350507	0.4699469	0.0857120	0.4816822	0.2657474	0.2128722	0.1276169	0.4180408	0.3430080	0.2823836	0.1199608	0.0742736	0.0181350	0.1592625	0.1348674	0.8362192	0.2600230	0.4943782	0.1337988	0.0296177	0.0166255	0.3911978	0.1322132	0.1369792	0.5121227	0.5194388	0.0395921	0.0692137	0.2942175	0.5276040	0.1413441	0.0856998	-634.324
294	1.1843307	1.0738269	1.0325631	0.5837806	0.0206581	0.0130142	1.0295418	0.9422792	0.8028695	0.4952805	1.0003077	0.5838541	0.2838130	0.2214800	0.0061231	0.4730997	0.0789154	0.3832113	0.3229235	0.2101121	0.1564660	0.0954406	0.0331328	0.7293368	0.6920258	0.4823673	0.4177480	0.2569891	0.1758105	0.0977517	0.0267578	0.2981196	0.1083699	0.4869440	0.2604596	0.2135421	0.1290109	0.5728008	0.4691005	0.3678654	0.1083337	0.0246171	0.0084768	0.2356213	0.1688102	0.6536746	0.3895476	0.3253346	0.0842010	0.0402505	0.0159006	0.3045775	0.1310076	0.1183046	0.5424173	0.5138259	0.0395981	0.1022940	0.2942175	0.6766067	0.1392895	0.1106819	-640.392
300	1.0705166	1.0438635	1.0388780	0.5789571	0.0477015	0.0417152	0.9643199	0.8977271	0.7962357	0.4385801	0.8988417	0.6076294	0.2457355	0.1730117	0.0060725	0.4487887	0.0404877	0.3979085	0.2500182	0.2169380	0.1721965	0.0925682	0.0328591	0.7271750	0.6382939	0.5690324	0.4486359	0.3841478	0.1262104	0.1142660	0.0840005	0.3135635	0.1876963	0.4350682	0.2583076	0.2117777	0.1279449	0.5952428	0.4748105	0.3826377	0.1074386	0.0265106	0.0171909	0.2336744	0.1054483	0.8925310	0.7822174	0.4755700	0.1448231	0.0295652	0.0084709	0.2971806	0.1304812	0.1241041	0.6691879	0.5181068	0.0373450	0.1389684	0.4481866	0.6319208	0.1129389	0.0874172	-710.587
306	1.0626577	1.0483189	1.0224871	0.5842555	0.0403687	0.0253065	1.0062718	0.9108207	0.8044856	0.4954530	0.9434129	0.5342112	0.2678404	0.1341645	0.0012644	0.4284432	0.0953559	0.3631733	0.3064659	0.2278581	0.1328915	0.0935273	0.0277151	0.7347093	0.7256307	0.4981237	0.4878788	0.3942512	0.1936498	0.1125940	0.0848708	0.2752985	0.1896411	0.4201245	0.2410405	0.2139720	0.0750523	0.5997037	0.4533665	0.3426325	0.1085517	0.0455427	0.0279146	0.1249752	0.0694932	0.9407709	0.7903221	0.4538629	0.1463237	0.0844960	0.0051307	0.3070080	0.1291431	0.1302119	0.5130591	0.4807237	0.0369621	0.1389684	0.4846329	0.5486936	0.0981661	0.1129959	-617.996
312	1.0514459	1.0464507	1.0124366	0.5784272	0.0326226	0.0289358	0.9886345	0.9244634	0.8277005	0.4147112	0.9494049	0.6163329	0.2977018	0.2762216	0.0017759	0.3986143	0.0943498	0.3164914	0.2482393	0.2016213	0.1452270	0.0902240	0.0208383	0.7433789	0.7388327	0.5466312	0.4787743	0.4362371	0.2534112	0.1379676	0.0431579	0.4704837	0.1700086	0.5712091	0.2167714	0.0261055	0.1327552	0.3854606	0.3778828	0.3210715	0.1017400	0.0247193	0.0116861	0.1407122	0.1129525	0.8557003	0.7308144	0.4897296	0.1327174	0.0836045	0.0087206	0.3024319	0.1305202	0.1448091	0.5185299	0.5353732	0.0349706	0.1118701	0.5806309	0.7430565	0.1425927	0.1507873	-620.930
318	1.1318651	1.1151493	1.1061933	0.5768541	0.0475648	0.0294284	1.0546953	0.8123507	0.6803756	0.4133228	0.9757589	0.6142695	0.2893265	0.1133549	0.0107896	0.5147439	0.0790346	0.3955014	0.2896040	0.1956176	0.1445056	0.0894486	0.0207685	0.8212013	0.8135059	0.6941065	0.6081306	0.4507916	0.3958512	0.1132730	0.0888710	0.3102898	0.1006466	0.5456894	0.3949470	0.2820393	0.1182138	0.5776564	0.5323062	0.2325946	0.1317117	0.0459961	0.0098898	0.1402411	0.0601790	0.8187137	0.5950012	0.3997336	0.0948559	0.0467777	0.0195188	0.2989422	0.1190866	0.1486224	0.4284561	0.4629176	0.0376662	0.0993182	0.5806309	0.6652229	0.1425927	0.1461188	-640.409
324	1.1161184	1.0933024	1.0663318	0.5790852	0.0327426	0.0250409	1.0608729	0.9488164	0.8251596	0.4478949	1.0494637	0.4639373	0.2163670	0.0430702	0.0022381	0.4316192	0.0822705	0.3976724	0.2411213	0.2106309	0.2048630	0.0888527	0.0191016	0.9021908	0.8965689	0.6140685	0.4297612	0.2653764	0.2440542	0.0792468	0.0663638	0.4689746	0.2536390	0.6606715	0.3967784	0.2571283	0.1174263	0.4733010	0.4212009	0.2735141	0.1725166	0.0374142	0.0090717	0.1393068	0.0975939	0.6456045	0.2973833	0.3319514	0.0957838	0.0670198	0.0193887	0.3158875	0.1203158	0.1535282	0.4223912	0.4454156	0.0367577	0.1335998	0.6422128	0.3220196	0.2044045	0.1459465	-661.793
330	1.0863219	1.0797126	1.0715251	0.5824712	0.0813528	0.0593961	1.0385310	0.9536261	0.7919862	0.4382076	0.9651691	0.5588475	0.1728567	0.1289084	0.0024115	0.4061236	0.1003843	0.3207436	0.1971414	0.1560786	0.1542698	0.0883899	0.0212411	0.8768811	0.8313762	0.6067590	0.5890298	0.5642761	0.2477921	0.1966863	0.1957422	0.4161908	0.2470698	0.5291373	0.2959495	0.1322112	0.0883124	0.4796020	0.4638220	0.3500426	0.1676713	0.0252608	0.0183170	0.1499710	0.0970855	0.8330072	0.4078300	0.3470017	0.1157811	0.0666707	0.0135576	0.2911053	0.1140395	0.1551535	0.3935414	0.4741851	0.0369501	0.1335998	0.6422128	0.3220196	0.2105675	0.1916847	-676.684
336	1.0846540	1.0672192	1.0449911	0.5765058	0.0501773	0.0415513	1.0146651	0.9433282	0.8371349	0.3716469	0.9902068	0.5157559	0.2227993	0.1310236	0.0060382	0.3480220	0.0692908	0.2823915	0.2057247	0.1694371	0.1030195	0.0622277	0.0136759	0.8805047	0.8449962	0.6434073	0.4962683	0.4301036	0.2701926	0.2230042	0.1349719	0.3032818	0.1850547	0.6286136	0.2832350	0.2447776	0.0878744	0.4221079	0.4162479	0.3499816	0.0983272	0.0151888	0.0038337	0.1667198	0.0777245	0.8550775	0.6773776	0.4153165	0.1731273	0.0681823	0.0225434	0.3556454	0.1146080	0.1420892	0.4191504	0.5524582	0.0360344	0.1432129	0.5789383	0.3220196	0.2205855	0.1916847	-681.179
342	1.1580915	1.0840923	1.0481006	0.5808784	0.0680991	0.0421325	1.0420666	0.9039633	0.8402263	0.3768456	1.0280278	0.5947952	0.2954770	0.2095908	0.0136989	0.4340463	0.0632338	0.3516924	0.1896480	0.1278795	0.1166217	0.0630982	0.0080355	0.8652906	0.8637907	0.5690267	0.5146237	0.4490612	0.1866400	0.1452623	0.1361086	0.3438812	0.1208729	0.5420010	0.2871969	0.0383310	0.0891036	0.4622599	0.4293143	0.3602507	0.1550279	0.0369455	0.0182487	0.1252162	0.0623494	0.8904024	0.6868529	0.4211261	0.1755491	0.1168984	0.0037172	0.3047061	0.1126045	0.1665503	0.4734438	0.5174302	0.0360463	0.1206814	0.4673702	0.2555317	0.1633367	0.2674531	-702.856
